,French,Vietnamese,English
Quest.Player1.Des.02,Montrer comment trier les déchets,Chỉ dẫn cách phân loại rác,Show how to sort trash 
Quest.Player1.Des.03,Nettoyer le bord de la rivière,Dọn dẹp bờ sông,Clean the riverbank 
Quest.Player2.Des.01,Aider à trier les déchets,Giúp xử lý rác,Help sort the trash 
Quest.Player2.Des.02,Nettoyer la rizière,Dọn dẹp bờ ruộng,Clean the rice field 
Quest.Player2.Des.03,Nettoyer la forêt,Dọn dẹp khu rừng,Clean the forest 
Quest.UI.Remaining,Restant :,Còn lại:,Remaining: 
Quest.UI.Done,Fait !,Hoàn thành!,Done! 
Quest.UI.Objective,Objectif,Nhiệm vụ,Objective 
Quest.UI.CharacterTalk,Parler à 3 personnages,Nói chuyện với 3 nhân vật,Talk to 3 characters 
Main.Sign.River,Rivière >,Sông >,River >
Main.Sign.Ricefield,< Rizière,< Ruộng,< Field
Main.Sign.Forest,< Forêt,< Rừng,< Forest
,,,
End.Game.Message,Fin de la partie. Enlève le casque et donne-le à ton binôme.,Trò chơi kết thúc. Hãy tháo tai nghe ra và đưa cho bạn cùng nhóm của mình.,Game over. Take off the headset and give it to your partner.
